ID	CC	CD	DT	EX	FW	IN	JJ	JJR	JJS	LS	MD	NN	NNS	NNP	NNPS	PDT	POS	PRP	PRP$	RB	RBR	RBS	RP	SYM	TO	UH	VB	VBD	VBG	VBN	VBP	VBZ	WDT	WP	WP$	WRB	label
gossipcop-1230409750	2	1	8	1	0	20	5	0	1	0	0	22	3	13	2	0	0	1	8	2	0	0	2	0	1	0	2	4	3	1	0	5	0	0	0	0	fake
gossipcop-1232016858	15	11	50	0	0	45	33	2	0	0	2	88	8	69	3	0	6	11	2	20	0	0	1	1	10	1	8	14	10	11	3	25	1	2	0	0	fake
gossipcop-1237938606	15	0	25	0	0	39	33	1	0	0	1	47	14	59	0	0	4	25	10	27	2	2	0	0	13	0	9	6	15	3	6	26	0	2	0	0	fake
gossipcop-1239121151	16	2	32	0	0	43	34	0	0	0	8	48	14	16	0	0	2	27	11	25	0	0	4	0	8	0	19	10	11	3	3	23	1	6	0	0	fake
gossipcop-1239218320	21	13	48	0	0	56	25	3	2	0	3	65	28	50	1	0	4	33	11	30	1	0	5	0	15	0	17	6	23	8	6	40	2	1	0	3	fake
gossipcop-1241528475	11	10	24	0	0	29	25	0	0	0	7	48	16	33	0	0	5	11	11	11	0	0	6	0	9	0	11	16	11	8	4	10	0	6	0	1	fake
gossipcop-1242871756	4	3	7	0	0	8	2	0	0	0	1	6	4	13	1	0	1	3	0	3	0	0	1	0	0	0	2	5	3	2	2	2	2	0	0	0	fake
gossipcop-1244264367	9	1	18	0	0	21	6	0	0	0	0	23	7	12	0	0	1	17	3	12	0	0	3	0	2	0	6	15	3	4	4	5	1	0	0	4	fake
gossipcop-1247316129	39	73	79	0	0	125	33	0	1	0	1	147	27	212	3	0	10	22	12	12	1	0	2	0	7	0	7	41	10	16	1	16	8	1	0	0	fake
gossipcop-1247336364	13	12	16	1	1	44	19	0	0	0	2	29	12	57	0	0	4	21	7	31	1	0	0	0	8	0	15	19	8	11	7	12	0	2	0	1	fake
gossipcop-1249049450	5	0	13	0	0	16	13	0	0	0	0	13	3	18	0	0	1	6	1	3	0	1	0	0	3	0	3	9	0	0	2	2	0	1	0	2	fake
gossipcop-1251383153	33	35	77	0	0	92	23	0	0	0	3	121	29	143	2	0	10	46	5	40	0	1	6	0	16	0	22	57	27	22	16	19	1	2	0	4	fake
gossipcop-1252725097	6	7	13	0	0	24	10	0	1	0	3	17	12	39	0	0	3	5	6	11	1	0	0	0	8	0	7	6	8	8	7	3	0	0	0	0	fake
gossipcop-1258552214	26	2	83	1	0	86	47	1	0	0	4	121	32	41	0	1	3	85	18	46	2	0	13	0	35	0	48	55	36	11	43	19	3	5	0	12	fake
gossipcop-1260836518	15	5	34	1	0	50	27	0	0	0	3	58	14	45	1	0	5	24	4	28	1	0	0	0	12	0	15	16	9	6	9	20	2	3	0	2	fake
gossipcop-1264231750	5	0	10	0	0	7	3	0	0	0	2	15	9	2	0	0	1	2	1	4	0	0	0	0	1	1	5	0	2	1	1	3	0	0	0	0	fake
gossipcop-1266666545	60	45	232	3	0	264	162	8	7	0	21	281	94	238	4	0	18	104	27	112	10	1	9	1	39	4	60	113	31	59	23	62	12	16	0	10	fake
gossipcop-1267637959	10	4	18	0	0	27	10	0	2	0	3	26	7	25	1	0	1	23	2	18	0	0	1	0	1	0	6	17	2	11	10	5	2	0	1	1	fake
gossipcop-1271062242	311	726	804	3	2	1299	678	11	17	0	28	1503	417	1311	18	1	118	321	280	301	5	18	18	0	198	3	161	565	201	269	58	131	57	40	1	40	fake
gossipcop-1277601040	6	22	29	0	0	48	17	0	0	0	0	73	6	60	0	0	1	21	11	10	1	1	3	0	11	0	2	26	9	18	3	12	1	2	0	3	fake
gossipcop-1284230032	11	7	31	1	0	46	29	0	1	0	4	44	7	49	1	1	1	33	10	32	0	0	5	0	9	0	14	28	8	5	10	10	5	2	0	2	fake
gossipcop-1287068479	17	1	46	0	0	59	31	0	2	0	1	79	14	77	1	0	5	21	13	19	0	0	2	0	15	2	11	39	12	11	5	3	2	6	0	0	fake
gossipcop-1288551520	14	27	39	0	0	59	35	0	1	0	0	69	12	78	2	0	2	11	6	6	0	0	0	0	4	0	1	21	6	9	1	4	4	1	0	0	fake
gossipcop-129245065	11	8	14	1	0	20	8	0	0	0	2	26	9	30	0	1	5	24	9	15	1	0	3	0	8	0	11	20	6	4	3	9	2	0	0	3	fake
gossipcop-1294448305	35	23	135	0	0	176	103	7	5	0	8	213	77	170	5	0	25	45	26	45	3	1	6	0	50	0	42	98	33	61	15	24	7	17	0	3	fake
gossipcop-12955535	8	4	35	1	0	39	38	0	0	0	2	48	16	36	0	0	9	4	0	7	1	0	1	0	8	0	6	20	7	11	5	10	3	2	0	0	fake
gossipcop-129798707	43	119	87	0	0	121	116	2	11	1	5	223	51	310	0	2	7	49	45	60	0	2	5	1	28	2	27	52	18	21	16	12	4	5	0	0	fake
gossipcop-1300270872	1	2	13	0	0	13	4	0	0	0	0	13	2	13	1	0	1	5	1	8	0	0	0	0	1	0	3	6	1	4	5	2	1	1	0	0	fake
gossipcop-1300529280	6	1	14	0	0	16	11	0	0	0	3	17	14	14	0	0	1	3	2	5	0	0	0	0	1	1	6	2	3	3	2	5	0	1	0	0	fake
gossipcop-1305114310	8	2	16	1	0	24	14	0	0	0	2	25	9	22	0	0	3	12	6	15	0	0	1	0	13	0	18	10	2	4	5	12	0	2	0	2	fake
gossipcop-1313702744	61	212	167	0	0	291	105	4	13	1	5	286	54	463	8	0	28	53	31	41	2	2	5	0	24	0	25	114	36	46	3	27	9	2	0	5	fake
gossipcop-1314470611	6	1	9	1	0	8	8	0	0	0	1	18	4	12	0	0	0	10	2	13	0	0	0	0	2	0	6	4	1	2	4	8	0	1	0	1	fake
gossipcop-1323742146	6	4	7	0	0	12	8	0	0	0	2	11	10	6	0	0	1	6	3	7	0	0	1	0	4	0	3	1	4	1	2	5	1	0	0	2	fake
gossipcop-1323947612	2	0	28	0	0	34	19	0	0	0	1	30	13	47	2	0	6	2	3	11	0	1	4	0	9	0	11	17	2	7	6	2	1	1	0	1	fake
gossipcop-1328152817	8	1	44	1	0	33	19	0	1	0	1	35	12	27	0	2	3	6	0	20	1	0	3	0	6	0	6	16	5	8	4	8	1	0	0	0	fake
gossipcop-1329261407	109	31	164	5	0	221	128	5	5	0	17	257	81	122	2	0	4	198	56	135	0	1	7	0	51	0	68	83	38	34	74	68	9	10	0	18	fake
gossipcop-1333002237	10	3	38	0	0	42	31	2	2	0	4	61	16	43	0	0	4	35	17	29	3	0	5	0	6	0	14	28	10	11	19	8	0	1	0	3	fake
gossipcop-1336256939	23	6	50	0	1	65	25	0	1	0	7	90	16	29	0	1	2	60	22	33	2	1	4	0	19	0	31	44	14	15	17	16	5	0	0	6	fake
gossipcop-1339876563	17	12	31	0	0	39	18	0	2	0	4	41	8	94	1	0	4	10	11	24	0	0	2	0	5	1	6	12	11	14	5	12	0	0	0	1	fake
gossipcop-1344406228	44	11	102	2	1	116	65	4	7	0	11	146	47	69	1	5	13	119	50	79	1	3	3	0	27	0	35	39	30	21	34	77	5	7	0	14	fake
gossipcop-1360722071	61	212	167	0	0	291	105	4	13	1	5	286	54	463	8	0	28	53	31	41	2	2	5	0	24	0	25	114	36	46	3	27	9	2	0	5	fake
gossipcop-1361315567	10	11	48	0	0	45	23	1	1	0	4	69	12	76	3	0	2	7	11	24	0	0	4	0	18	0	16	22	9	4	2	14	3	4	0	5	fake
gossipcop-1361560822	8	3	9	1	0	34	11	1	0	0	2	20	7	21	1	0	1	36	7	22	0	0	5	0	3	0	9	25	4	9	13	7	4	6	0	5	fake
gossipcop-1365192937	16	13	41	0	0	59	27	1	0	0	1	64	7	51	1	0	2	30	9	24	0	0	3	0	10	0	11	29	13	9	10	8	0	1	0	2	fake
gossipcop-1366889953	21	32	56	2	0	71	53	1	4	0	5	106	11	149	1	1	7	56	8	31	1	2	2	0	10	3	24	54	9	13	10	5	0	6	0	7	fake
gossipcop-1369150512	12	3	33	0	2	35	20	2	0	0	4	39	9	38	4	2	6	28	7	27	0	0	1	0	9	1	14	10	19	8	14	19	0	3	0	0	fake
gossipcop-1369804075	5	0	17	1	0	21	13	0	1	0	2	21	2	9	0	0	1	25	0	18	0	0	5	0	1	1	4	23	3	4	4	4	0	1	0	0	fake
gossipcop-13736481	52	34	157	1	1	194	124	5	7	4	28	274	68	123	0	0	18	91	40	118	2	0	11	0	54	0	64	41	61	29	28	105	3	3	0	11	fake
gossipcop-1375570271	10	4	20	1	0	11	15	0	0	0	5	23	2	14	0	1	2	7	2	17	0	0	2	0	6	1	7	0	8	4	3	11	1	0	0	0	fake
gossipcop-1380587821	12	2	35	1	0	45	22	0	0	0	1	50	18	22	2	1	4	15	7	23	0	0	3	0	16	0	10	12	10	13	11	14	2	1	0	1	fake
gossipcop-1380729469	60	159	153	1	0	220	87	4	7	1	5	251	77	329	6	0	14	62	24	45	1	0	1	0	30	1	36	98	41	42	10	21	6	1	1	7	fake
gossipcop-1381944265	4	3	21	0	0	30	22	0	1	0	2	44	4	20	0	0	1	5	13	10	0	0	0	0	3	0	5	12	8	4	1	8	0	0	0	0	fake
gossipcop-1385937069	44	131	130	1	0	194	75	4	2	2	8	203	57	258	12	0	19	54	34	45	0	0	2	0	30	0	25	89	25	40	11	21	8	2	0	6	fake
gossipcop-1386564222	17	5	52	0	0	85	40	0	1	0	13	82	18	59	3	0	7	55	7	36	1	2	3	0	15	0	22	28	19	7	18	11	1	5	0	2	fake
gossipcop-1391794235	43	82	120	0	0	191	84	3	3	0	1	213	50	232	1	0	17	35	32	37	0	3	8	0	30	0	20	69	41	44	10	30	10	4	0	6	fake
gossipcop-1393324921	11	9	36	0	0	50	32	0	1	0	6	59	6	40	3	0	2	17	15	27	0	0	4	0	10	0	19	17	11	11	1	25	2	1	0	1	fake
gossipcop-1394099574	19	6	36	0	0	56	30	2	4	0	8	69	7	55	0	1	6	34	21	47	3	0	5	0	14	0	23	19	10	19	6	30	1	4	0	3	fake
gossipcop-1398125520	23	6	54	2	0	72	27	0	1	0	3	76	17	77	0	0	4	44	10	55	1	1	4	0	16	0	18	39	20	18	16	10	4	2	0	1	fake
gossipcop-1398282945	8	83	65	6	0	80	46	1	0	0	10	125	39	174	0	0	6	44	8	44	2	0	1	3	21	0	40	19	25	11	25	23	1	3	0	3	fake
gossipcop-1398529432	14	17	43	0	0	38	31	3	1	0	7	54	14	32	0	1	2	21	10	31	3	0	2	1	9	1	14	18	12	8	9	18	1	1	0	1	fake
gossipcop-1399234045	5	0	9	0	0	10	8	0	0	0	1	16	5	10	0	0	3	8	0	2	0	0	1	0	8	0	8	8	2	6	3	6	1	0	0	1	fake
gossipcop-1402129558	14	11	42	1	0	48	28	1	0	0	2	66	12	58	0	0	0	36	8	29	3	0	2	0	11	0	17	31	4	5	5	15	3	2	0	2	fake
gossipcop-140849966	14	7	38	0	0	34	19	1	1	0	4	63	13	29	0	0	3	15	4	22	1	0	1	0	12	1	17	13	7	7	7	24	3	1	0	2	fake
gossipcop-1409790969	16	7	13	2	0	34	12	1	0	0	7	35	17	41	0	0	8	27	12	24	0	0	3	0	15	1	21	5	12	9	15	8	0	1	0	4	fake
gossipcop-1410407190	15	3	36	0	0	35	24	0	0	0	9	51	13	16	1	0	2	31	4	20	0	1	1	2	13	3	26	1	10	1	15	27	2	5	0	2	fake
gossipcop-1410900558	21	15	74	2	0	91	36	2	2	0	5	105	28	94	1	0	7	82	15	46	0	0	4	1	23	1	28	61	29	16	23	28	3	3	0	9	fake
gossipcop-1413519098	9	3	21	1	0	50	13	1	2	0	6	49	10	34	1	0	1	24	14	25	1	0	2	0	14	0	18	12	11	8	4	15	0	0	0	1	fake
gossipcop-1414621205	0	0	3	0	0	4	5	0	0	0	0	3	1	6	0	0	0	0	1	1	1	0	1	0	1	0	2	2	1	1	1	0	0	0	0	0	fake
gossipcop-1416257068	29	14	76	1	0	84	81	3	2	0	5	135	60	26	0	1	6	33	19	58	1	2	3	0	25	0	28	25	15	10	21	20	1	6	0	5	fake
gossipcop-1418105606	1	2	10	0	0	17	5	0	0	0	0	20	4	12	0	0	1	2	5	7	0	1	1	0	3	0	2	7	4	5	1	5	3	1	0	1	fake
gossipcop-141965938	12	3	36	1	0	51	21	0	1	0	4	54	16	32	0	1	7	12	11	28	1	0	1	0	12	0	11	6	17	11	7	19	3	1	0	2	fake
gossipcop-1424848077	6	1	18	0	0	14	6	0	1	0	2	24	12	9	0	0	2	3	1	6	0	0	0	0	3	1	7	1	3	2	3	7	0	0	0	0	fake
gossipcop-1432833690	1	6	12	0	1	13	7	0	1	0	1	15	4	14	0	0	2	4	3	2	0	0	0	0	3	0	3	3	1	1	1	3	0	0	0	0	fake
gossipcop-1433840923	6	2	14	0	0	13	10	0	0	0	1	40	6	29	0	0	2	10	4	4	1	0	1	0	7	0	7	11	6	3	0	10	0	1	0	0	fake
gossipcop-1434380198	21	8	34	2	0	47	15	0	1	0	3	54	15	42	0	0	6	19	11	34	1	0	1	0	8	1	10	19	12	14	10	15	0	0	0	0	fake
gossipcop-1440280874	0	0	1	0	0	3	1	0	1	0	0	2	0	3	0	0	0	0	0	2	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	fake
